"Estacion","Fecha inicial","Fecha final","CO"
"NOBSA-NAZARETH","2020-08-20","","476.60583333"
"NOBSA-NAZARETH","2020-08-19","","479.28"
"NOBSA-NAZARETH","2020-08-18","","649.84541667"
"NOBSA-NAZARETH","2020-08-17","","1003.86375"
"NOBSA-NAZARETH","2020-08-16","","790.36875"
"NOBSA-NAZARETH","2020-08-15","","546.63347826"
"NOBSA-NAZARETH","2020-08-14","","445.05208333"
"NOBSA-NAZARETH","2020-08-13","","401.44666667"
"NOBSA-NAZARETH","2020-08-12","","503.64833333"
"NOBSA-NAZARETH","2020-08-11","","354.17625"
"NOBSA-NAZARETH","2020-08-10","","575.97"
"NOBSA-NAZARETH","2020-08-09","","1002.66916667"
"NOBSA-NAZARETH","2020-08-08","","536.32916667"
"NOBSA-NAZARETH","2020-08-07","","820.28521739"
"NOBSA-NAZARETH","2020-08-06","","584.5825"
"NOBSA-NAZARETH","2020-08-05","","501.23565217"
"NOBSA-NAZARETH","2020-08-04","","804.84956522"
"NOBSA-NAZARETH","2020-08-03","","528.39333333"
"NOBSA-NAZARETH","2020-08-02","","539.12791667"
"NOBSA-NAZARETH","2020-08-01","","520.44625"
"NOBSA-NAZARETH","2020-07-31","","397.53304348"
"NOBSA-NAZARETH","2020-07-30","","299.47708333"
"NOBSA-NAZARETH","2020-07-29","","648.97130435"
"NOBSA-NAZARETH","2020-07-28","","385.3226087"
"NOBSA-NAZARETH","2020-07-27","","414.08875"
"NOBSA-NAZARETH","2020-07-26","","730.17375"
"NOBSA-NAZARETH","2020-07-25","","522.70227273"
"NOBSA-NAZARETH","2020-07-24","","658.66291667"
"NOBSA-NAZARETH","2020-07-23","","632.82833333"
"NOBSA-NAZARETH","2020-07-22","","374.35583333"
"NOBSA-NAZARETH","2020-07-21","","387.70375"
"NOBSA-NAZARETH","2020-07-20","","729.73083333"
"NOBSA-NAZARETH","2020-07-19","","637.35916667"
"NOBSA-NAZARETH","2020-07-18","","442.40333333"
"NOBSA-NAZARETH","2020-07-17","","532.57291667"
"NOBSA-NAZARETH","2020-07-16","","480.77916667"
"NOBSA-NAZARETH","2020-07-15","","229.45521739"
"NOBSA-NAZARETH","2020-07-14","","596.66956522"
"NOBSA-NAZARETH","2020-07-13","","465.04541667"
"NOBSA-NAZARETH","2020-07-12","","464.83916667"
"NOBSA-NAZARETH","2020-07-11","","555.59333333"
"NOBSA-NAZARETH","2020-07-10","","384.31304348"
"NOBSA-NAZARETH","2020-07-09","","435.54625"
"NOBSA-NAZARETH","2020-07-08","","868.745"
"NOBSA-NAZARETH","2020-07-07","","804.84652174"
